word,answer
beng,abend aberg ang aung bag bagg baig ban banc band bane bang bange bango bangs banh bank bann bans barg be bea bead beak beal beam bean beane beans bear beas beat beau bebb bebe bec beck beco bed beda bede beds bee beef beek beel beem been beene beens beep beer bees beet beg began begg beggs begin begs begun behl behm behn behne behr beige beil beim bein beine being beings beiny beit bel bela belc belge belgo beli belk bell belo belong bels belt bely belz bem ben bena benak bence bench bend benda bendig bends bendt bene benel benes benet bengal benge bengel bengt beni benign benin bening benja benjy benke benko benn benne benno benny beno benoy bens bent bente bento bentz benyo benz benzs bera bere berg berge bergh bergs bering berk berm bern berna bernd berne berni berns bernt berny bero bert bes bess best bet beta beth bets bett betz beu bev bevy bey beyl bien big bin bina bind bing binga binge bingo bink binn bins binz blend blog boeing boen boenig bog bon bona bond bone bong bongo boni bonk bonn bono bons bony borg brag bren brenn brent brig bring buena bueno bug bugg bun bund bung bunge bunk bunn buns bunt burg cent cheng cong dang deeg den dena deng dengs denk denn deno dens dent deny denz ding dong dung eben eeg egg elg en ena end eng enge engh eno ent enz fang feig fen fend feng fenn fent ferg fong fung gang gegg gen gena gene geng genk geno gens gent genz ging gong gung hang heeg hegg hen heng henk henn hens hing hong hung ing jang jen jena jenn jens jent jeong jing jong jung kang keg kegg ken kenn keno kens kent king kong kung lang leg legg len lena lend lene leng lenig lenk leno lens lent leny lenz leong leung ling long lung lyng mang meg men mena mend meng menge menk menn meno mens menu menz ming mong nang neg nene neni ng ning oberg ong pang peg pegg pen pena peng pengo penh penn pens pent ping pong pung qing rang reeg reg rehg ren rena rene rengo renk renn reno rens rent reny renz ring rong rung sang sen sena send senf seng senk senn sens sent sheng sing song sung tang teig ten tena tend teng tenn tens tent ting tong tseng tung ueno ung vang vena venn veno vent vong wang wen wend weng wenge wenig wenk went wenz wing wong xena xene xing yang yen yene yens yeung ying yong yung zang zen zena zeng zenk zeno zens zent zenz zheng zing
bizzare,bizarre bizmart bizzaro blizzard buzzard gizzard izzard
blaim,aim alai alaimo alain alair alam alarm bahm baie baig bail baim bain baio bair bait bali balik balin balis balm bam basim baum beahm beam beim belair black blade blagg blah blaha blaich blain blaine blair blairs blais blaise blaize blake blame blan blanc bland blane blank blann blare blas blase blasi blasia blass blast blatt blatz blau blaum blay blaze bleam blehm bleil blimp blip bloem blohm blom bloom bluhm blum bnai bolam brahm braid brain bram brim byam chaim claim claims clair clam clim elam flaig flail flaim flair flam flamm flaum flim fraim gleim haim kaim klamm klim lahm lai laib laid lail lain lair lais lait lam lamm liam lim maim naim plaia plaid plain plair plait plam salim slain slam slim swaim ulam
blessure,bessire leasure leisure lesure pleasure pressure
boaut,about abut baht bait bamut bart bast bat batt baud baum baun baur baus bautz baxt beast beat beau beauty beaux bhatt blahut blast blatt blau blaum bloat boa boak boake boal boals boan boar board boart boas boase boast boasts boat boats boaz bobst bogart bogue bogus bohart boldt bolt bolus bondt bonet bonum bonus boost boot borst bort borum borup bost bott bour bout bouts boyt boyum bradt brant brat bratt brau braud brault braun brut but coast coat donut fout gaut goat gout haut hout kogut kohut kraut laut lout moat oat out plaut pout raut roast roat rout taut toast tout traut yoast zovut
borke,backe bake bakke balke banke barbe bare barge bark barke barked barker barkes barkey barko barks barre bedke belke benke bere berge berk berka berke berkel berken berkes berkey berko berle berne berte bertke beske betke bike birge birk birkel birkes birkey birks birky birle bjerke bjorge bjork blake bloke boak boake boase bobe bobek bocce bocek boche bock bode bodie bodle boe boege boeke boeker boer boese boeve boge bogie bogle bogue bohle bohlke bohne boice boik boike boise bok boker bole bolek bolker bolle bolte bonde bone bonk bonker bonne bonte booe booee book booked booker bookie books boole boone boose boote booze bora borah borak boral borax borba borck borda borden border bordes bore bored borek borel boren borer bores borg borge borgen borger borges boric borin boris borja bork borks born borne borneo borner borns boro boron boros borre bors borse borski borst bort bortel borten borth bortle bortz borum borup borys bose bosko bosse bothe bouie boule bourke bourne bourse bouse bove bovee bowe bowie bowker bowne bowse boyce boyde boye boyko boyle boyne boyte boze bozek brae brake bree brie broce brode broe brok broke broken broker brooke brose browe brue brye budke bunke burek burge burk burke burkel burkes burket burkey burkle burks burne burse buske byrge byrle byrne cocke coke cooke core cork corken corker corks corky corle corne corse corte croke darke doke domke dore dorie dorko droke ehrke force forde fore foree forge forie fork forked forker forkey forks forse forte gerke gocke goeke goerke gore goree gorge gorka gorki gorky harke hoke hooke hopke horde horkey horky horne horse ihrke joke jorde jorge koike koke kopke korte larke locke lore loree lorek lorge lorie lorne marke moerke moke more moree mork morken morse morze norge nork norse norske norte ore orkem orks orky orme orne parke poke pore pork porker porky porte roarke rocke rooke rorie rork rorke roske rourke sorce sore sorge tooke tore torie torme torre torte vocke vorce vore werke woke wolke wore work worked worker works worse yerke yoke yonke yore york yorke yorker yorks
brasillian,brasilia brazilian
broacasted,broadcaster
broady,OK
buring,abusing airing baking baling barging baring barings barking barring basing baying bearing behring being bening bering berling berning biding biking bing biting blaring blueing bluing blurring boeing boling boning booing borin boring bowing bowring boxing brig brin brine bring brings brink brinn bruin bruins bruning bruting bubinga bucking budding budging budin buehring buening buesing bugging bugling bulging bulin bumping bung bunning bunting buoying buran burbling burdin burdine buren burg burgin burgling buri burial burian burich buried buries burkina burkins burling burn burne burning burnings burns burnt burping bursting burying busing bussing busting butting buying buzzing caring cuing curbing curing curling cursing curving daring dering doring dring duking duling durang during durling durning dusing erring eyring faring firing fuming furini furino fusing garing gering goring gring haring hering heuring hiring huling hurling hurting kring loring luhring luring lurking maring moring murin murine musing muting nursing outing paring poring pouring pring puking puming purging purina purring quiring ring ruding ruling souring spring string suing surfing surging syring tiring touring tubing tuning turin turing turning tusing unring urging urine using waring wiring wring zaring
calander,aulander balancer blander bolander calamander calandra calandro calder calendar callander callender cavender colander colanders cylinder galanter glander helander islander kolander lalande lander melander molander nylander oblander olander rylander selander slander telander wallander wilander zealander
caperbility,capability
carachter,caraher character
carmel,OK
carribean,OK
carthagian,carthaginian
cartilidge,cartilage cartledge cartlidge cartridge
catterpilar,caterpillar
catterpilars,caterpillars
cementary,cemetery cometary commentary elementary momentary sedentary
cemetarey,cemetery cometary
cententenial,centennial
cervial,aerial cenvill cereal cervi cervical cervini cervix cordial serial
charistics,charismatics charities christic christies
chasr,cahasa car carr cars cas casa case cash cask caso cass cast ceasar cease ceaser cesar cha chace chad chadd chads chae chafe chaff chai chaim chain chair chairs chaise chait chalk cham champ chan chana chand chang chans chant chany chao chaos chap chapa chapp chaps char chara chard charls charm charms charry chart charts chary chas chase chased chasen chaser chasers chases chasin chaska chasm chason chasse chaste chat chato chats chatz chau chaus chaw chaz chazz cheer cher ches chess chest chis chism choir chose chuse cisar claar clair clar clash clasp class coar coast crase crash crass csar czar czars haar hair har harr has hase haser hash haso hass hast hasz ihasz lhasa nasr ohair phair phar pharr phase qasr schaar schaer schar scharr shaer shas thar thaser
childbird,childbirth
cincinatti,cincinnati
circumsicion,circumcision
ciriculum,curriculum
clas,adas ala alai alam alan alans alar alas ales alfas alias alis alls almas alms alps als alys alzas anas as atlas axas baas balas beas bias blah blais blan blas blase blasi blass blast blau blay boas bras byas ca caan cab cabs cac cacs cad cads cai cal cala calaf calais calan cale cales calf calfs cali calk call callas calls calm calms calo cam cams can canas cans cao cap caps caq caqs car caras carlas carls cars cas casa casas case cash cask caso cass cast cat cats cau caw cay cbs ccs cds cea cease cees cela celis cells cels celts cha chad chads chae chai cham chan chans chao chaos chap chaps char chas chase chasm chat chats chau chaus chaw chaz ches chis cia cian ciao cibas cilag claar clabo clack clad claes claeys clagg claim claims clair clam clamp clamps clams clan clang clank clans clap clapp claps clar clara claras clare claris clark clarks claro clary clasby clasen clash clason clasp class classs classy claud claus clause clauss claw claws clay clays cleah clean cleans clear clears cleat cleats clef clem cleo clews clif clim clio clip clips cloak cloe clog clogs clos close closs clot clots clow cloy club clubs clucas clue clues cluj clum cmos cnns coad coal coals coan coar coast coat coats coax cobs cola colab colan colao colas colaw colds coles colis colts comas coms cons coos copas cops coras cos cosa coss cots covas cows coxs cps crab crabs cram crams crans crap craps crase crash crass craw cray crays cris cros cs csar cubas cubs cues cults cups cus cuss cuts cyan czar czars daas das deas dias dyas ela elam elan elat elfs elias elks ellas ells elms els elsa elsas eras evas faas flab flad flag flags flak flam flan flap flaps flash flask flat flats flaw flaws flax flay fleas flis flus galas gals gas gias glab glad glas glass glaus golas gras gulas haas halas hals has heclas hlad ifas ila ilan iles ills ilsa iras islas jas kaas kalas keas klaas klan klans klar klas klase klass klaus klay klos klus kras kulas la laas lab labs lac lacs lad lads lag lags lai lais lak lal lalas lam lan lao laos lap laps lar lars las lase lash lask lass last lat lats lau law laws lax lay lays lbs lcs leas les lias lis los ls lucas lulas maas mals mas mclay milas mylas naas neas oas ola olaf olah olay olds oles pals pas peas pla plam plan plans plas plass plax play plays pleas plus ras reas salas sals sas seas selas shas sias silas slab slabs slag slam slams slap slaps slash slat slats slav slavs slaw slay spas tcas teas twas uclaf ula ulam vilas vlad vlads vyas waas walas was yeas zias
collonade,colonnade
collosal,colloidal collosio colossal
colonizators,NONE
comander,bolander colander colanders comandeer comandeers commanded commandeer commander commanders conder coriander kolander mander molander olander rosander
comany,boman botany caman carmany chany coady coan coday cogan cohan colan colman colony coma comair coman comas comby comedy comely comfy coming comino comins comity comley comly command company companys comply conan conant conaty conny corman cormany corny cosman cotman cowan cowans cowman cozman doman dominy homan homann homans hominy koman loman many moman oman omani omans omary podany roman romani romann romano romans romany toman woman womans
comemoretion,commemoration
comision,cohesion collision commision commission compston coniston dominion omission
comisioned,commissioned
comisioner,commissioner
comisioning,commissioning
comisions,collisions commision commissions dominions omissions
comited,cited coasted coated coiled coined combed combined comfed comito comity commitee committed commuted competed compiled comptek computed copied costed counted courted coveted limited omitted posited
comiting,citing coasting coating coiling coining combating combing combining coming committing commuting competing compiling computing costing counting courting limiting omitting vomiting
commerical,OK
commerically,commercially commerical cosmetically
compability,capability comparability compatibility culpability
compatablities,NONE
compatablity,comparability compatibility
competion,commotion companion competing competition competitor complection completion completions complexion compston compton
competive,combative compete competing competitive
competiveness,combativeness competitiveness
completetion,competition complection completion
conesencus,consensus
consequentually,NONE
consequeseces,consequences
conspiracys,conspiracies conspiracy
contempory,contempo contemporary
contravercial,controversial
controlls,control controlled controller controllers controls
convential,congenial congenital convention conventional
coorperation,cooperation cooperations corporation
coorperations,cooperation cooperations corporations
copywrite,OK
cornmitted,committed
correposding,corresponding
corrispondant,correspondent
corrispondants,correspondents
coudl,caudal caudle caul chudy chul cloud clouds cloudy coad coady coal cobol cod coda codd coddle code cody coed coeds coil cold coldly colds coll conal conde condo coody cool coral cord corda cordle cords cordy corel corl cou couch couey coufal cough could coull count coup coupe couple coups cour court coury couse cousy couto couts coutu coval covel cowl crud crude cruel crull cudd cude cul cull curl doud douds dougl foul goude goudy gould houde loud loudly moudy moul mould poul roedl soul would youd youll
councellor,chancellor councilor counsellor counsellors counselor
councellors,chancellors councilors counsellor counsellors counselors
coururier,courier courtier couturier currier
coverted,averted coerced cohered concerted converged conversed converted converter courted covered covert covertly coveted diverted governed hovered inverted overfed reverted
cpoy,ahoy boy broy buoy cady canoy cao capo capon cappy cary cay ceo cfo cho choe choi chok chon choo chop chou chow choy city clay cloe cloey clog clos clot clow cloy cloyd cmon cmos co cob coby cod cody coe coey cog com con coo coody cook cool coon coop coos coot cop copa cope copp cops copy cor cory cos cosy cot coty cou covy cow cox coy coye coym coz cozy cps cray cro croc crom cron crony crop cros crow croy cry cuny cupo cuppy cy depoy eloy epoxy floy foy goy hoy ipod joy knoy kooy kopy kroy loy mccoy mckoy mcroy mcvoy moy opry oy pay phy ploy ply po pod poe pog poh poky pol poly pom pon pony poo pop por pos pot pou pow pox pry pty roy sooy soy spay spey spot spry spy stoy toy troy upon woy yoy
criticists,criticism criticisms criticizes
critising,critiquing cruising
critized,citizen criticized critiqued critzer
critizing,criticizing critiquing
crucifiction,crucifixion
cumulatative,cumulative
dael,abdel abel adabel ade adee adel adela adele adell aden ader ades adey ae aer ahl ail akel al ale all andel aol apel arel auel aul avdel axel babel bae baek baer baez bagel bahl bail bal bale ball basel bawl beal beel bel biel buel caen cail cal cale call camel capel carel carl caul cel ciel da daas dab dac dace dacey dack dacs dacy dad dada dade dado dads dady dae daelim daft dag dagen dager dagg dagle dah daher dahl dahle dahls dahm dahn dai daiei dail daile daily dain dais dak dake dal dalal dale dalen daleo dales daley dali dalke dall dalla dally dalo dalpe daly dam dama dame damer dames damm damn damp dams damsel dan dana dane daneel danek danell daner danes daney dang dangel dani daniel dank danly dann dano dans dant danz dao dapp dar dara dare dared daren dares dark darla darn darnel darr darrel dart daryl das dasa dase dash dashel dass dat data date dated datek dates dato dats datz dau daub dauer daul dault daum daun daus dave davee daves davey davi davy daw dawe dawes dawn daws dax daxs day daya daye dayle days daze dazed dazey dazs de dea dead deaf deahl deak deal deale deals dealt dealy deam dean dear deas deb dec dee deeb deed deeg deel deely deem deen deep deer dees deet del dela deli delk dell delo delp demel den deo dep der des deuel dev deval dew dex dey dial die died diehl diel diem diep dier dies diet dietl diez dill doe doell doer does dol dole doll dovel dowel doyel drawl dred drew drey dual due duel duell duels duer dues duet duey dule dull dwell dwelt dyal dye dyed dyer dyes earl easel ebel edel edsel eel el emel evel exel faal fabel fadel fae fahl fail fall faul feel fel fiel frel fuel gaal gabel gae gaea gael gagel gail gal gale gall gamel garl gaul gavel gawel gel giel guel habel haen hagel hahl hail hal hale hall hamel hanel harl haul havel hazel heal heel hoel ideal igel imel itel jae jaes jail jakel janel joel juel kabel kadel kael kagel kahl kail kal kale kall kamel karel karl kasel kaul keal keel kiel label lail lal lall lapel leal mabel madel madl mae maes maez magel mahl mail mal male mall mapel maul mazel meal mel mtel nadel naef nagel nail nale nall navel neal neel nel niel noel opel orel pae paek paez pagel pahl pail pal pale pall panel patel paul pavel peal peel piel poel quel rabel radel rae rael ragel rahl rail rall ramel raul ravel rawl rayl real reel riel ruel saal sabel saez sahl sail sal sale sall saul savel seal seel sel tae tafel tail tal tale tall taul tavel teal teel tel tuel udale udall vaal vahl vail val vale veal viel vsel waal wadel wahl wail wal wale wall yakel yale yall zabel zagel zale zeal zel ziel
damenor,damer dameron demeanor kamenar menor
decendent,decadent decedent decedents defendant dependent dependents descendant descendent descendents
decendents,decadents decedent decedents defendants dependent dependents descendants descendent descendents
decomposit,decompose decomposed decomposes decomposing
decomposited,decomposed
decompositing,decomposing decomposition
decomposits,decomposes decomposing
definatly,defiantly definable definitely
definetly,defiantly definitely
definining,defining
delevopment,development
delusionally,delusional
deriviated,deviated
descibed,decibel decided describe described describes desired despised destined
desgined,declined defined deigned designed designee designer desired despised destined detained engined resigned
deteoriated,NONE
deteriate,deteriorate determinate
determinining,determining
devasted,debased debated delisted departed detested devalued devastated deviated devised devoted divested feasted
devels,bevel bevens bevers daves deals deavers debell debes decals deeds deel deely deems dees deets defers dells delves demel demelo demers denes denvers dereks deters deuel deval devall devals deveau develle develop develops devens deveny dever devera devere devers devey devil devils devins devol devoll devos devoss dewees dewell deweys diesels dively divens divers dives dovel dovers doves dowels drexels duels eels evel evens evers eves evils feels fevers heels hovels jewels keels levees level levell levels levens levers neels nevel nevels nevers neves nevils novels peels ravels rebels reels repels reveals revel reveles revell revels reves sevens severs teves
devolopement,development
diea,adia adieu adina adrea aida aisa aiwa area asea bea biba bieda biel biela bien bier bies biev bila bima bina blea brea cea chea cia ciba cie ciel ciera ciga cima cina cira crea da dada dae dai daiei daiwa dama dana dara dasa data daya de dea dead deaf deak deal deam dean dear deas deb dec dee deeb deed deeg deel deem deen deep deer dees deet deis deja del dela delia den dena deo dep der des dev deva dew dex dey dhia di dia diab dial dian diana diane dias diasa diaz dibb dibs dic dice diced dicey dick dicta did didi dido die dieck died diede diego diehl diehm diel diem diep dier diers diery dies diet dietl diets dietz diez dif diff difm dig digga digs dike dikes dileo diles dilg dill dils dim dimas dime dimeo dimer dimes dims din dina dinah dinan dinar dinda dine dined diner dines ding dinh dini dink dino dinsa dint dion diona dior dios dip dips dire dirk dirr dirt dis disa disc dise dish disk diss dith ditka diva divad divan divas dive dived diven diver dives divi diwa dix dixy dna doe doer does doha dona dopa dora dorea dread dream dred drew drey dried drier dries drina duba duca duda due duel duena duer dues duet duey dula duma duna dura duva dye dyed dyer dyes eda edie edina ediva edrea eisa enea fica fief fiel fier fila fima fina flea gaea giel gier gies gila gina giza hiaa hieb hier higa ia iba ida ide idea ideal ideas idec iden iida iie ikea ila ina ira isa ita iva jia jie jima kea kia kida kief kiel kier kies kiev kika kila kira kita lea leia lia licea lida lie lieb lied lief liem lien lies lieu lila lima lina lipa lira lisa lita liza mea mia mica mien mier miera mies mika mila mina minea mira misa mita nida nie nied niel nier nies nila nina nita odea odier oie oien olea orea pea pia pica pie pied piel piela pier pies piet pima pina pisa pita plea rea rhea ria riba rica ried rief rieg riek riel riera ries riga riha rima rina ripa risa rita riva sea shea sica sie sieg sieh sieja siek siem sies siew sima sipa tea thea tia tie tied tien tier ties tieu tina tipa tita urea via vida vie vieau vied viel vien viera vies viet view vila vina visa vita viva wied wien wier wies xie yea yie zea zia zieba zieg ziel zier zika zima zisa zita
diferrent,deferment deterrent different divergent
differentiatiations,NONE
disparingly,disarmingly disparagingly sparingly
disproportiate,disproportionate
dissapear,disappear
dissapearance,disappearance
dissapeared,disappeared
dissapearing,disappearing
dissapears,disappears
dissobediance,disobedience
dissobediant,disobedient
